Цена,Количество квартир
181336.71264149318,236
200054.5150391839,588
197117.1260197372,875
206770.68685452308,951
208642.09789894617,876
213621.46262123346,803
219149.5303243075,759
217291.3830829932,643
218580.87824809714,605
212030.10856026295,553
213094.73584355388,457
211678.54385739213,439
215102.24373583973,399
231031.89658663285,362
234276.52857444278,287
222327.410321282,290
219896.4147641008,256
230055.47740269735,185
229093.75251197885,121
244087.21346452634,68
243138.00909869597,59
289708.5859883191,54
277347.73904932814,25
262331.0966424969,53
270813.2329975531,34
313255.14964756154,18
238152.82740743255,5
310932.4928469996,3
117647.46100182256,1
245640.18876183615,2
389554.06353963056,1
269113.58424784447,1
411691.5047664268,1
